antecedent,consequent,support,confidence_a_to_b,confidence_b_to_a,lift,count_ab,count_a,count_b
noun:skateboard,noun:skateboarder,0.006449988987823679,0.6011730205278593,0.7945736434108527,74.05845779626725,205,341,258
adj:aged,adj:middle,0.01076046943334487,0.8791773778920309,0.7215189873417721,58.951254433633785,342,389,474
noun:cellphone,noun:phone,0.007551206619891137,0.6201550387596899,0.6233766233766234,51.19581193999799,240,387,385
noun:station,noun:subway,0.0033351162571185855,0.41245136186770426,0.4015151515151515,49.65508194788351,106,257,264
noun:subway,noun:train,0.005317307994840008,0.6401515151515151,0.3789237668161435,45.61868969968746,169,264,446
noun:stair,noun:step,0.005128527829342731,0.5451505016722408,0.41265822784810124,43.86460353075653,163,299,395
adj:african,adj:american,0.008369254003712677,0.588495575221239,0.6157407407407407,43.29665478531629,266,452,432
noun:pool,noun:swimming,0.007865840229053267,0.51440329218107,0.6377551020408163,41.70734651885444,250,486,392
noun:dance,verb:dance,0.008149010477299184,0.6166666666666667,0.5048732943469786,38.20568551007147,259,420,513
noun:microphone,verb:singe,0.007645596702639776,0.4516728624535316,0.6377952755905512,37.67852647601206,243,538,381
noun:skateboarder,noun:trick,0.005159991190258943,0.6356589147286822,0.30091743119266057,37.0699950216912,164,258,545
noun:swimming,verb:swim,0.0038699933926942074,0.3137755102040816,0.4489051094890511,36.39681401757783,123,392,274
noun:station,noun:train,0.00399584683635906,0.49416342412451364,0.28475336322869954,35.21523791244263,127,257,446
noun:vendor,verb:sell,0.004436333889186043,0.4828767123287671,0.32045454545454544,34.8801603362391,141,292,440
noun:cowboy,noun:horse,0.0033351162571185855,0.41568627450980394,0.26108374384236455,32.54127306094852,106,255,406
noun:skateboard,noun:trick,0.0057577950476669915,0.5366568914956011,0.3357798165137615,31.29645134386182,183,341,545
noun:book,verb:read,0.0069219394015668755,0.6179775280898876,0.3442879499217527,30.737370540345694,220,356,639
noun:soccer,verb:kick,0.004876820942013026,0.2886405959031657,0.4983922829581994,29.497955175531565,155,537,311
verb:lay,verb:lie,0.007865840229053267,0.39619651347068147,0.5707762557077626,28.74957485762253,250,631,438
noun:drink,verb:drink,0.005506088160337287,0.37154989384288745,0.4196642685851319,28.318873563569525,175,471,417
adj:hard,noun:construction,0.006324135544158827,0.5583333333333333,0.3195548489666137,28.21225490196079,201,360,629
adj:snowy,noun:snow,0.010886322877009722,0.7954022988505747,0.3827433628318584,27.96490184111484,346,435,904
